,word,abs_freq,wtd_freq,rel_value,name,group,sub_group
378,🤷🏿‍♀️,1,86.0,86.0,woman shrugging: dark skin tone,People & Body,person-gesture
379,➗,1,86.0,86.0,division sign,Symbols,other-symbol
380,🛡,1,86.0,86.0,shield,Objects,tool
381,🔪,1,86.0,86.0,kitchen knife,Food & Drink,dishware
382,🏃🏻‍♂️,1,84.0,84.0,man running: light skin tone,People & Body,person-activity
383,🤘,1,77.0,77.0,sign of the horns,People & Body,hand-fingers-partial
384,🤜🏼,1,71.0,71.0,right-facing fist: medium-light skin tone,People & Body,hand-fingers-closed
385,🤛🏼,1,71.0,71.0,left-facing fist: medium-light skin tone,People & Body,hand-fingers-closed
386,🎹,1,70.0,70.0,musical keyboard,Objects,musical-instrument
387,📢,1,70.0,70.0,loudspeaker,Objects,sound
388,🎸,1,70.0,70.0,guitar,Objects,musical-instrument
389,💁🏽‍♀️,1,69.0,69.0,woman tipping hand: medium skin tone,People & Body,person-gesture
390,🏃🏽‍♂️,1,66.0,66.0,man running: medium skin tone,People & Body,person-activity
391,🏃🏽‍♀️,1,66.0,66.0,woman running: medium skin tone,People & Body,person-activity
392,👆,1,64.0,64.0,backhand index pointing up,People & Body,hand-single-finger
393,☝🏽,1,62.0,62.0,index pointing up: medium skin tone,People & Body,hand-single-finger
394,🙇🏽‍♂️,1,60.0,60.0,man bowing: medium skin tone,People & Body,person-gesture
395,🐸,1,55.0,55.0,frog,Animals & Nature,animal-amphibian
396,🌸,1,55.0,55.0,cherry blossom,Animals & Nature,plant-flower
397,👌🏼,1,55.0,55.0,OK hand: medium-light skin tone,People & Body,hand-fingers-partial
398,👿,1,54.0,54.0,angry face with horns,Smileys & Emotion,face-negative
399,⛸,1,53.0,53.0,ice skate,Activities,sport
400,🏒,1,53.0,53.0,ice hockey,Activities,sport
401,🐦,1,49.0,49.0,bird,Animals & Nature,animal-bird
402,📺,1,49.0,49.0,television,Objects,light & video
403,🏃🏾‍♂️,1,42.0,42.0,man running: medium-dark skin tone,People & Body,person-activity
404,🔫,2,38.0,19.0,pistol,Objects,tool
405,👋,1,34.0,34.0,waving hand,People & Body,hand-fingers-open
406,👯‍♀️,1,32.0,32.0,women with bunny ears,People & Body,person-activity
407,✌🏾,1,29.0,29.0,victory hand: medium-dark skin tone,People & Body,hand-fingers-partial
408,🤦🏼‍♀️,1,27.0,27.0,woman facepalming: medium-light skin tone,People & Body,person-gesture
409,©️,1,23.0,23.0,copyright,Symbols,other-symbol
410,👍🏼,2,22.0,11.0,thumbs up: medium-light skin tone,People & Body,hand-fingers-closed
411,🤚🏽,1,19.0,19.0,raised back of hand: medium skin tone,People & Body,hand-fingers-open
412,⚔️,1,9.0,9.0,crossed swords,Objects,tool
413,👊🏾,1,8.0,8.0,oncoming fist: medium-dark skin tone,People & Body,hand-fingers-closed
414,🚢,1,7.0,7.0,ship,Travel & Places,transport-water
415,🏖,1,7.0,7.0,beach with umbrella,Travel & Places,place-geographic
416,🐝,1,1.0,1.0,honeybee,Animals & Nature,animal-bug
417,😴,1,1.0,1.0,sleeping face,Smileys & Emotion,face-sleepy
418,🧚🏾‍♀️,1,1.0,1.0,woman fairy: medium-dark skin tone,People & Body,person-fantasy
419,💁🏿‍♀️,1,1.0,1.0,woman tipping hand: dark skin tone,People & Body,person-gesture
420,🐆,1,1.0,1.0,leopard,Animals & Nature,animal-mammal
